trial_id,crop,trait,environment,season,materials,test_design,phenotype_summary,genotype_summary,decision_outcome,source_refs,data_confidence,risk_notes,notes
"TRIAL-SETARIA-LODGE-2026-PRE-001","foxtail millet","lodging resistance","dense planting preliminary nursery","2026 pre-season template","263A; Jingu21; Zhangza13; candidate local recurrent parents","Parent-only preflight plus small RCBD dense-planting plot if seed is available","Template expects lodging score, plant height, stem strength, and yield penalty check; no final field result yet.","CAPS marker preflight required before treating marker route as selectable.","pending_local_validation","local-rag://bc1f1_first_cycle_phenotyping_preflight.md","medium","Seed availability and marker polymorphism are unresolved.","This seed row represents planned/local pending trial evidence rather than completed proof."
"TRIAL-SETARIA-LODGE-LOCALNOTE-001","foxtail millet","lodging resistance; yield stability","dense planting local observation","local note archive","Jingu21; Zhangza13; 263A-derived material","Observation note, not a replicated decision trial","Local notes suggest architecture differences under dense planting but are insufficient for final selection.","No confirmed recurrent-parent marker validation recorded.","requires_replicated_trial","local-rag://jingu21_zhangza13_lodging_material_note.md","low","Observation-only evidence can overstate environment-specific performance.","Use only as a clue for BFRS expansion."
"TRIAL-SETARIA-DROUGHT-2026-PRE-001","foxtail millet","drought tolerance; stay-green","managed drought preliminary nursery","2026 pre-season template","drought tolerant donor pool; local elite recurrent parents","Irrigated control plus managed drought block, pending seed multiplication","Seed row expects stay-green, canopy temperature, recovery, and yield comparison; no decision-grade result yet.","Candidate gene panel has not been validated in local parents.","pending_local_validation","local-rag://foxtail_millet_drought_testing_note.md","medium","Stress timing, soil heterogeneity, and seed amount remain unresolved.","Synthetic row for drought route testing."
"TRIAL-SETARIA-BLAST-2026-PRE-001","foxtail millet","blast resistance; disease resistance","disease screening nursery","2026 template","resistant donor note; susceptible local check; candidate elite lines","Replicated disease nursery with susceptible spreader rows, pending inoculum confirmation","Seed row expects leaf blast and neck blast scores; no confirmed local disease result yet.","Candidate marker set is unvalidated in local background.","pending_local_validation","local-rag://foxtail_millet_blast_testing_note.md","low","Nursery escape and pathogen race specificity are unresolved.","Synthetic row for disease route testing."
"TRIAL-SETARIA-QUALITY-2026-PRE-001","foxtail millet","grain quality; protein content; starch quality","post-harvest quality lab","2026 harvest template","quality donor pool; local consumer-preferred lines","Small seed-lot quality assay plus recurrent parent comparison","Seed row expects protein, starch, color, and processing preference measures; field replication is pending.","Candidate quality QTL panel has not been validated locally.","requires_replicated_trial","local-rag://foxtail_millet_quality_testing_note.md","medium","Small samples and environment effects may bias quality estimates.","Synthetic row for quality route testing."
"TRIAL-SETARIA-MATURITY-2026-PRE-001","foxtail millet","early maturity; short-season adaptation","short-season adaptation nursery","2026 pre-season template","early maturing donor pool; local recurrent parents","Two sowing windows plus crossing synchrony observation, pending field execution","Seed row expects days to heading, days to maturity, yield, and flowering overlap; no final result yet.","Marker route is exploratory and needs parental contrast.","pending_local_validation","local-rag://foxtail_millet_maturity_testing_note.md","medium","Early maturity may reduce biomass and yield under favorable environments.","Synthetic row for maturity route testing."
"TRIAL-RICE-SUB1-2026-PRE-001","rice","submergence tolerance; flood recovery","flood-prone lowland validation nursery","2026 planning seed","FR13A donor reference; Swarna; IR64; Sub1 derivative or candidate lines","Replicated flooded and non-flooded blocks with tolerant and susceptible checks; planned, not executed","No local result yet. Plan records survival, recovery, panicle fertility, and yield after controlled submergence.","Sub1A functional assay required before treating a line as a selectable donor or derivative.","pending_local_validation","https://doi.org/10.1038/nature04920","high","Flood duration, recovery weather, seed identity, and background recovery remain unresolved.","Planning row only; not evidence of local performance."
"TRIAL-RICE-DRO1-2026-PRE-001","rice","drought avoidance; root architecture; grain yield","managed rainfed or upland drought nursery","2026 planning seed","Kinandang Patong donor reference; N22 donor candidate; locally adapted recurrent parents","Irrigated control plus managed drought block with root-angle or root-depth subtrial; planned, not executed","No local result yet. Plan records root architecture, canopy status, flowering, and grain yield.","DRO1 haplotype assay and local parent polymorphism check required before selection.","pending_local_validation","https://doi.org/10.1038/ng.2725","high","Soil profile, stress timing, root sampling method, and GxE remain unresolved.","Planning row only; not evidence of local performance."
"TRIAL-RICE-SALT-2026-PRE-001","rice","salinity tolerance","saline or sodic field and seedling screen","2026 planning seed","Pokkali donor reference; local saline-soil parents; tolerant and susceptible checks","Seedling 1-9 score followed by replicated saline field or pot trial with non-stress control; planned, not executed","No local result yet. Plan records injury, survival, fertility, yield, and electrical conductivity.","Saltol-linked marker panel requires polymorphism and recombinant selection in target parents.","pending_local_validation","https://www.knowledgebank.irri.org/ricebreedingcourse/Breeding_for_salt_tolerance.htm","medium","Salt distribution, irrigation EC, maturity mismatch, and linkage drag remain unresolved.","Planning row only; not evidence of local performance."
"TRIAL-RICE-BLAST-2026-PRE-001","rice","blast resistance","local blast screening nursery","2026 planning seed","Pi-ta candidate donors; local elite lines; susceptible and resistant checks","Replicated inoculation nursery with local isolates and spreader rows; planned, not executed","No local result yet. Plan records leaf and neck blast scores, isolate identity, and yield penalty.","Pi-ta or other resistance genotype must be treated as a candidate until local isolate challenge is passed.","pending_local_validation","https://doi.org/10.1094/PHYTO.2004.94.3.296","high","Pathogen race composition, inoculum uniformity, and marker specificity remain unresolved.","Planning row only; not evidence of local resistance."
"TRIAL-RICE-WX-2026-PRE-001","rice","amylose; eating and cooking quality","post-harvest grain quality laboratory","2026 planning seed","Nipponbare reference; waxy and non-waxy quality parents; local consumer-preferred lines","Replicated grain chemistry and cooking-quality comparison with moisture normalization; planned, not executed","No local result yet. Plan records amylose, chalkiness, pasting traits, and yield or milling penalty.","Wx allele assay is supportive evidence; chemical quality measurement remains required.","pending_local_validation","https://doi.org/10.1046/j.1365-313x.1995.7040613.x","high","Consumer preference, environment, sample size, and milling conditions remain unresolved.","Planning row only; not evidence of local quality performance."
