marker_id,crop,trait,gene_or_qtl,marker_name,marker_type,linked_materials,validation_status,assay_protocol,source_refs,evidence_summary,risk_notes,data_confidence,last_updated,notes
"MQTL-SETARIA-LODGE-001","foxtail millet","lodging resistance; plant height","Seita.5G404900; qPH5.1","Si5G404900C CAPS","CAPS","263A; Jingu21; Zhangza13","needs_local_parent_preflight","Digest PCR amplicon with CAPS enzyme and confirm polymorphism in donor/recurrent parents before progeny screening.","https://doi.org/10.1016/j.cj.2022.09.003","Marker/QTL clue for plant-height and lodging-related architecture; useful only after local parental polymorphism is confirmed.","Transferability across local recurrent backgrounds and yield penalty must be checked.","high","2026-07-28","Seed row for Evidence Curator marker/QTL lookup."
"MQTL-SETARIA-LODGE-002","foxtail millet","stem strength; lodging resistance","SinFYC2","SinFYC2 lodging route","gene_candidate","Jingu21; local elite lines","literature_supported_local_validation_pending","Use candidate-gene sequencing or linked marker preflight if local assay exists.","local-rag://sinfyc2_lodging_note.md","Candidate route linked to lodging-related architecture in local notes; requires genotype and phenotype confirmation.","Risk of background-specific effect and flowering-time pleiotropy.","medium","2026-07-28","Use as alternative route when CAPS marker is not polymorphic."
"MQTL-SETARIA-DROUGHT-001","foxtail millet","drought tolerance; stay-green","SiDREB2-like drought response route","DREB2-like amplicon panel","candidate_gene_panel","drought tolerant donor pool; local elite recurrent parents","testing_seed_local_validation_pending","Use low-cost amplicon sequencing or allele-specific PCR after parental DNA quality control.","local-rag://foxtail_millet_drought_testing_note.md","Testing clue for drought-response hypothesis generation; connect marker route only after local genotype and water-stress phenotype confirmation.","Drought response is environment-sensitive and may trade off with yield or maturity.","medium","2026-07-28","Synthetic seed row for system testing."
"MQTL-SETARIA-BLAST-001","foxtail millet","blast resistance; disease resistance","candidate blast resistance interval","Blast-R screening marker set","SSR_or_amplicon_panel","resistant donor note; susceptible local check","testing_seed_local_validation_pending","Screen parents with candidate marker set and pair with controlled disease nursery scoring.","local-rag://foxtail_millet_blast_testing_note.md","Testing clue linking disease nursery records, resistant donors, and marker preflight.","Pathogen race specificity and nursery escape can create false positives.","low","2026-07-28","Synthetic seed row for disease-resistance workflow tests."
"MQTL-SETARIA-QUALITY-001","foxtail millet","grain quality; protein content; starch quality","candidate grain quality QTL set","Quality-QTL preflight panel","QTL_panel","quality donor pool; local consumer-preferred lines","testing_seed_local_validation_pending","Pair basic grain chemistry assay with candidate QTL panel only if parental contrast is clear.","local-rag://foxtail_millet_quality_testing_note.md","Testing clue for quality-focused breeding hypotheses and evidence graph edges.","Quality gains may conflict with yield, maturity, or processing preference.","medium","2026-07-28","Synthetic seed row for quality route testing."
"MQTL-SETARIA-MATURITY-001","foxtail millet","early maturity; flowering time","candidate flowering-time route","Maturity-window marker clue","candidate_gene_panel","early maturing donor pool; local recurrent parents","testing_seed_local_validation_pending","Confirm flowering-window contrast in crossing nursery before using marker clues.","local-rag://foxtail_millet_maturity_testing_note.md","Testing clue for short-season adaptation and crossing-window feasibility.","Photoperiod and sowing-date effects can dominate marker signal.","medium","2026-07-28","Synthetic seed row for maturity route testing."
"MQTL-RICE-SUB1-001","rice","submergence tolerance; flood recovery","Sub1; Sub1A-1","Sub1A-1 functional allele assay","functional_allele_assay","FR13A; Swarna-Sub1; IR64-Sub1","literature_supported_local_validation_pending","Use allele-specific or functional genotyping, then test complete submergence survival and recovery in matched controls.","https://doi.org/10.1038/nature04920","Strong literature-supported candidate for Sub1-mediated flood tolerance; derivative and original cultivar identities must be separated.","Marker-positive status does not guarantee recovery or yield in the target background.","high","2026-08-04","Source-backed seed row for rice flood-tolerance evidence."
"MQTL-RICE-DRO1-001","rice","drought avoidance; root architecture","DRO1","DRO1 functional haplotype marker","haplotype_or_functional_assay","Kinandang Patong; IR64; locally adapted recurrent parents","literature_supported_local_validation_pending","Genotype the candidate haplotype and measure root angle or depth plus grain yield under managed drought.","https://doi.org/10.1038/ng.2725","Direct cloning and introgression evidence supports a root-architecture route; local transfer remains unverified.","Soil profile, background, and drought timing can change the yield benefit.","high","2026-08-04","Source-backed seed row for rice drought route."
"MQTL-RICE-SALTOL-001","rice","salinity tolerance; Na+ exclusion","Saltol; qSKC1; OsHKT1;5","Saltol-linked SSR panel","SSR_linked_QTL_panel","Pokkali; saline-soil recurrent parents","literature_supported_local_validation_pending","Screen target parents for polymorphism, select foreground and recombinant markers, then score seedling salt injury and reproductive-stage yield.","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2020.00833/full","Marker-assisted Saltol introgression is a plausible route, but the effect is stage and background dependent.","Saltol linkage may carry donor segments with maturity or quality penalties.","medium","2026-08-04","Source-backed seed row; exact marker panel still needs local assay registration."
"MQTL-RICE-SD1-001","rice","plant height; lodging risk","sd1; OsGA20ox2","sd1 derived-CAPS/SNP assay","CAPS_or_SNP","IR8-derived semidwarf backgrounds; target elite parents","literature_supported_local_validation_pending","Use a derived-CAPS or SNP assay and pair it with plant height, stem strength, lodging, and yield measurement.","https://doi.org/10.1093/dnares/9.1.11; https://doi.org/10.1270/jsbbs1951.47.317","sd1 is a well-characterized semidwarfing gene with linked molecular marker evidence.","Height reduction can alter biomass, panicle traits, maturity, and yield under local conditions.","high","2026-08-04","Source-backed seed row for rice architecture route."
"MQTL-RICE-PITA-001","rice","blast resistance","Pi-ta","Pi-ta diagnostic assay","diagnostic_gene_assay","Pi-ta donor lines; local susceptible and resistant checks","literature_supported_local_validation_pending","Genotype Pi-ta candidate alleles and challenge lines with relevant local Magnaporthe isolates including AVR-Pita compatibility checks when available.","https://doi.org/10.1094/PHYTO.2004.94.3.296","Pi-ta resistance is associated with specific pathotypes and AVR-Pita compatibility, not universal blast resistance.","Pathogen race composition can invalidate marker-only selection.","high","2026-08-04","Source-backed seed row for rice blast route."
"MQTL-RICE-XA21-001","rice","bacterial blight resistance","Xa21","Xa21 PCR assay","PCR_or_functional_assay","Xa21 donor; Chinese rice varieties; local susceptible check","literature_supported_local_validation_pending","Confirm Xa21 genotype and evaluate lesion length after inoculation with local Xanthomonas oryzae pv. oryzae isolates.","https://doi.org/10.1007/BF02879300","Xa21 PCR-positive plants were highly resistant in the cited inoculation tests.","Local Xoo population, insertion integrity, and genetic background require confirmation.","high","2026-08-04","Source-backed seed row for rice bacterial-blight route."
