protocol_id,crop,trait,target_environment,measurement_method,scale_or_unit,stage,replication,decision_thresholds,source_refs,validation_status,risk_notes,data_confidence,notes
"PHENO-SETARIA-LODGE-DENSE-001","foxtail millet","lodging resistance","dense planting nursery","Record lodging angle, lodging incidence, plant height, internode diameter, stem breaking strength, and plot yield under dense planting.","1-9 lodging score; percentage; cm; N; kg/plot","heading to maturity","RCBD with at least 3 replicates; include donor, recurrent parent, F1/BC/F2 material as available","Advance only if lodging score improves and yield is not materially reduced versus recurrent parent.","local-rag://dense_lodging_90day_validation_note.md","local_protocol_ready","Single-season data should be treated as preliminary.","high","Primary phenotyping protocol for dense-planting lodging validation."
"PHENO-SETARIA-MATURITY-001","foxtail millet","flowering synchrony; maturity","crossing block and target ecology","Record days to heading, anthesis window, pollen shed overlap, seed set, and maturity date.","days; percentage seed set","vegetative to maturity","At least 2 sowing windows when crossing synchrony is uncertain","Do not advance a cross route if flowering windows cannot be synchronized without extra nursery management.","local-rag://flowering_synchrony_crossing_risk_protocol.md","local_note","May need adjustment by photoperiod and seasonal temperature.","medium","Supports risk review for crossing feasibility."
"PHENO-SETARIA-DROUGHT-001","foxtail millet","drought tolerance; stay-green","managed water-stress nursery","Record emergence, canopy temperature, stay-green score, leaf rolling, biomass, grain yield, and recovery after rewatering.","percentage; degree C; 1-9 score; kg/plot","vegetative stress to grain filling","Irrigated control plus managed drought block with at least 3 replicates","Advance only if drought block yield and stay-green improve without unacceptable yield loss in irrigated control.","local-rag://foxtail_millet_drought_testing_note.md","testing_seed_protocol","Soil heterogeneity and stress timing must be controlled.","medium","Synthetic protocol row for drought workflow tests."
"PHENO-SETARIA-BLAST-001","foxtail millet","blast resistance; disease resistance","disease screening nursery","Score leaf and neck blast severity, infection type, plant stage, and yield loss under susceptible spreader rows.","1-9 disease score; percentage; kg/plot","seedling to heading","Resistant check, susceptible check, and candidate lines in replicated nursery","Advance only if disease score is consistently lower than susceptible check and agronomic penalty is acceptable.","local-rag://foxtail_millet_blast_testing_note.md","testing_seed_protocol","Nursery escape, pathogen race, and uneven inoculum pressure require checks.","low","Synthetic protocol row for disease workflow tests."
"PHENO-SETARIA-QUALITY-001","foxtail millet","grain quality; protein content; starch quality","post-harvest quality lab","Measure thousand-grain weight, crude protein, amylose or starch profile, color, and basic processing preference score.","g; percentage; lab assay units; 1-9 score","harvest and post-harvest","At least two biological replicates per line plus recurrent parent and quality donor checks","Advance only if target quality improves without severe yield or maturity penalty.","local-rag://foxtail_millet_quality_testing_note.md","testing_seed_protocol","Small seed lots and environment effects can bias quality assays.","medium","Synthetic protocol row for quality workflow tests."
"PHENO-SETARIA-MATURITY-002","foxtail millet","early maturity; short-season adaptation","short-season target ecology","Record days to heading, days to maturity, plant height, panicle traits, and grain yield across sowing dates.","days; cm; kg/plot","emergence to maturity","Two sowing dates and at least 3 replicates when seed allows","Advance only if maturity is earlier while maintaining acceptable yield and flowering synchrony.","local-rag://foxtail_millet_maturity_testing_note.md","testing_seed_protocol","Too-early maturity may reduce biomass and yield potential.","medium","Synthetic protocol row for short-season adaptation tests."
"PHENO-RICE-SUB1-001","rice","submergence tolerance; flood recovery","flood-prone lowland nursery","Expose matched seedlings or plants to controlled complete submergence, then score survival, recovery, plant height, panicle fertility, and grain yield against non-submerged controls.","survival percentage; recovery score; days; percentage seed set; kg/plot","seedling to reproductive stage","Randomized complete block design with at least 3 replicates; include tolerant and susceptible checks","Advance only when survival and recovery improve after the target flood duration without unacceptable yield or maturity penalty.","https://doi.org/10.1038/nature04920; https://www.knowledgebank.irri.org/ricebreedingcourse/Breeding_for_submergence_tolerance.htm","literature_based_local_protocol_pending","Water depth, temperature, duration, recovery weather, and check performance must be standardized.","high","Source-backed protocol seed for Sub1 route."
"PHENO-RICE-DRO1-001","rice","drought avoidance; root architecture; grain yield","rainfed or managed drought nursery","Measure root growth angle or root depth and pair it with canopy status, flowering, grain yield, and irrigated-control performance under managed drought.","degrees; cm; stay-green score; kg/plot","vegetative stress to grain filling","At least 3 replicates with irrigated and drought blocks; soil profile recorded","Advance only if root architecture and drought-block yield improve without a major irrigated-control penalty.","https://doi.org/10.1038/ng.2725","literature_based_local_protocol_pending","Soil texture, rooting depth measurement, stress timing, and background effects can confound the route.","high","Source-backed protocol seed for DRO1 route."
"PHENO-RICE-SALT-001","rice","salinity tolerance","saline or sodic seedling and field trial","Score salt injury at seedling stage, survival, plant height, panicle fertility, and yield under stress versus non-stress control.","1-9 injury score; survival percentage; cm; percentage seed set; kg/plot","seedling to maturity","Replicated stress and control blocks with tolerant and susceptible checks","Reject or revise if seedling tolerance does not persist to reproductive-stage fertility and yield.","https://www.knowledgebank.irri.org/ricebreedingcourse/Breeding_for_salt_tolerance.htm","literature_based_local_protocol_pending","Electrical conductivity, sodium distribution, irrigation timing, and soil heterogeneity must be recorded.","medium","Source-backed protocol seed for Saltol route."
"PHENO-RICE-BLAST-001","rice","blast resistance","disease screening nursery","Challenge candidate lines with relevant local Magnaporthe isolates and record leaf or neck blast severity, infection type, disease escape risk, and yield penalty.","disease severity score; infection type; percentage; kg/plot","seedling to heading","Replicated nursery with susceptible spreader rows, resistant and susceptible checks, and isolate identity recorded","Advance only when resistance is consistent across relevant isolates and agronomic penalty remains acceptable.","https://doi.org/10.1094/PHYTO.2004.94.3.296; https://doi.org/10.1038/s41467-018-04369-4","literature_based_local_protocol_pending","Pathogen race specificity and uneven inoculum can create false confidence from marker-only selection.","high","Source-backed protocol seed for Pi-ta and other blast routes."
