accession_id,name,crop,germplasm_type,source,availability,primary_traits,summary,ecological_zone,strengths,weaknesses,known_genes_qtls,markers,phenotype_evidence,genotype_evidence,breeding_use,risk_notes,source_refs,pedigree,population,maturity_group,plant_height,yield_level,quality_traits,stress_tolerance,disease_resistance,preferred_crosses,avoid_crosses,data_confidence,last_updated,notes
FPS2025-148,Xiaojinmiaoguzi,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Top-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.933.,Chifeng Inner Mongolia trial environment,High aggregate score; single-spike grain weight 88.8 g; 1000-grain weight 3.14 g,Single-environment evidence only,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 71 d; growth period 106 d; main spike length 30.5 cm; main stem length 134.13 cm; stem thickness 8.17 mm,no marker or genotype confirmation reported in table,parent selection; phenotypic validation; multi-environment trial candidate,Needs molecular marker confirmation and multi-location validation,https://doi.org/10.3389/fpls.2025.1624252,,,,high-stem phenotype,134.13 cm,single-spike grain weight 88.8 g; single-spike weight 102.88 g,grain color L 64.19 a 7.5 b 31.41,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-116,Huangmaogu,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Second-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.850.,Chifeng Inner Mongolia trial environment,High single-spike grain weight 100.47 g; balanced aggregate score,Single-environment evidence only,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 72 d; growth period 110 d; main spike length 32.63 cm; main stem length 92.66 cm; stem thickness 6.61 mm,no marker or genotype confirmation reported in table,parent selection; high-yield component validation candidate,Needs molecular marker confirmation and multi-location validation,https://doi.org/10.3389/fpls.2025.1624252,,,,medium stem phenotype,92.66 cm,single-spike grain weight 100.47 g; single-spike weight 119.04 g,grain color L 63.2 a 7.53 b 29.86,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-136,Xiaojinmiao,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Third-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.814.,Chifeng Inner Mongolia trial environment,High single-spike grain weight 102.82 g; relatively short main stem,Single-environment evidence only,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 69 d; growth period 107 d; main spike length 32.27 cm; main stem length 92.94 cm; stem thickness 7.52 mm,no marker or genotype confirmation reported in table,parent selection; high-yield component validation candidate,Needs molecular marker confirmation and multi-location validation,https://doi.org/10.3389/fpls.2025.1624252,,,,medium stem phenotype,92.94 cm,single-spike grain weight 102.82 g; single-spike weight 124.3 g,grain color L 63.53 a 6.57 b 28.97,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-978,Jiantoudabaili,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Fourth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.798.,Chifeng Inner Mongolia trial environment,High single-spike weight 132.16 g; high single-spike grain weight 101.35 g,Tall main stem may increase lodging risk,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 77 d; growth period 115 d; main spike length 32.27 cm; main stem length 136.6 cm; stem thickness 7.84 mm,no marker or genotype confirmation reported in table,parent selection; yield-component donor candidate,Lodging and GxE risk should be checked before use,https://doi.org/10.3389/fpls.2025.1624252,,,,tall phenotype,136.6 cm,single-spike grain weight 101.35 g; single-spike weight 132.16 g,grain color L 65.27 a 7.1 b 31.57,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-98,Heiguzi,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Fifth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.743.,Chifeng Inner Mongolia trial environment,High main stem length and moderate 1000-grain weight,Tall main stem may increase lodging risk,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 72 d; growth period 117 d; main spike length 31.13 cm; main stem length 144.64 cm; stem thickness 6.99 mm,no marker or genotype confirmation reported in table,parent selection; diversity broadening; phenotypic validation candidate,Lodging and adaptation risk should be checked,https://doi.org/10.3389/fpls.2025.1624252,,,,tall phenotype,144.64 cm,single-spike grain weight 87.12 g; single-spike weight 101.78 g,grain color L 64.56 a 7.39 b 30.72,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-1507,Bocaigen,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; early heading; grain traits,Sixth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.739.,Chifeng Inner Mongolia trial environment,Early seedling-to-spike period 63 d; high 1000-grain weight 3.79 g,Lower stem thickness in table; single-environment evidence only,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 63 d; growth period 106 d; main spike length 34.6 cm; main stem length 115.4 cm; stem thickness 5.43 mm,no marker or genotype confirmation reported in table,early-maturity breeding; grain-weight validation candidate,Needs lodging and density tolerance validation,https://doi.org/10.3389/fpls.2025.1624252,,,,medium stem phenotype,115.4 cm,single-spike grain weight 78.7 g; single-spike weight 94.0 g,grain color L 63.72 a 7.56 b 30.8,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-1152,Kaoshangong,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; panicle length; yield components,Seventh-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.715.,Chifeng Inner Mongolia trial environment,Longest main spike among top 10 at 39.03 cm; high single-spike grain weight,Tall main stem may increase lodging risk,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 70 d; growth period 114 d; main spike length 39.03 cm; main stem length 151.24 cm; stem thickness 6.32 mm,no marker or genotype confirmation reported in table,panicle architecture donor; yield-component validation candidate,Lodging and adaptation risk should be checked,https://doi.org/10.3389/fpls.2025.1624252,,,,very tall phenotype,151.24 cm,single-spike grain weight 89.29 g; single-spike weight 107.19 g,grain color L 66.61 a 4.46 b 24.3,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-224,Jinxiangyuxiaobaimi,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; grain color; yield components,Eighth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.703.,Chifeng Inner Mongolia trial environment,High grain a and b color parameters among top 10; moderate plant height,Lower single-spike grain weight compared with top entries,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 72 d; growth period 110 d; main spike length 24.77 cm; main stem length 113.14 cm; stem thickness 6.56 mm,no marker or genotype confirmation reported in table,quality-related evaluation; phenotypic validation candidate,Needs quality trait and market preference validation,https://doi.org/10.3389/fpls.2025.1624252,,,,medium stem phenotype,113.14 cm,single-spike grain weight 76.56 g; single-spike weight 90.63 g,grain color L 65.26 a 9.21 b 32.33,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-995,Baiguzi,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; late maturity; grain traits,Ninth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.683.,Chifeng Inner Mongolia trial environment,High grain L value 66.23; tall plant architecture,Late seedling-to-spike period 81 d and tall stem may limit adaptation,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 81 d; growth period 111 d; main spike length 28.8 cm; main stem length 150.2 cm; stem thickness 6.69 mm,no marker or genotype confirmation reported in table,quality-related evaluation; diversity broadening; parent selection after adaptation check,Lodging and maturity adaptation risk should be checked,https://doi.org/10.3389/fpls.2025.1624252,,,,very tall phenotype,150.2 cm,single-spike grain weight 74.48 g; single-spike weight 99.89 g,grain color L 66.23 a 6.81 b 29.05,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
FPS2025-46,Chaogu518,foxtail millet,variety/accession,Frontiers 2025 phenotypic diversity study,unknown,overall phenotypic performance; yield components; grain traits,Tenth-ranked accession in a 1558-accession foxtail millet phenotypic evaluation with aggregate score 0.654.,Chifeng Inner Mongolia trial environment,High single-spike grain weight 100.39 g; high stem thickness 7.92 mm,Lower grain L and b values among top entries,,,2023-2024 two-year phenotyping in Chifeng; seedling-to-spike 72 d; growth period 106 d; main spike length 32.27 cm; main stem length 116.14 cm; stem thickness 7.92 mm,no marker or genotype confirmation reported in table,yield-component validation; potential density and lodging evaluation candidate,Needs marker confirmation and multi-location validation,https://doi.org/10.3389/fpls.2025.1624252,,,,medium stem phenotype,116.14 cm,single-spike grain weight 100.39 g; single-spike weight 117.74 g,grain color L 59.05 a 6.92 b 26.39,,,,medium,2026-07-18,Public seed row from Frontiers Table 7
